chand_mult,bar,mean_equity
2.30,0,1.000000
2.30,1,1.003725
2.30,2,0.982747
2.30,3,0.996848
2.30,4,1.001112
2.30,5,1.037906
2.30,6,1.037906
2.30,7,1.019137
2.30,8,0.971795
2.30,9,0.966264
2.30,10,0.986712
2.30,11,0.997012
2.30,12,0.992657
2.30,13,0.995107
2.30,14,0.995107
2.30,15,1.004341
2.30,16,0.984502
2.30,17,0.994961
2.30,18,1.027193
2.30,19,1.035952
2.30,20,1.035952
2.30,21,1.029841
2.30,22,1.029841
2.30,23,1.037805
2.30,24,1.097685
2.30,25,1.112875
2.30,26,1.104486
2.30,27,1.110091
2.30,28,1.112802
2.30,29,1.112802
2.30,30,1.118040
2.30,31,1.120461
2.30,32,1.139467
2.30,33,1.112674
2.30,34,1.105640
2.30,35,1.111889
2.30,36,1.122211
2.30,37,1.127748
2.30,38,1.117263
2.30,39,1.141242
2.30,40,1.141305
2.30,41,1.145196
2.30,42,1.162701
2.30,43,1.177283
2.30,44,1.203038
2.30,45,1.198788
2.30,46,1.206999
2.30,47,1.204753
2.30,48,1.220871
2.30,49,1.219839
2.30,50,1.215268
2.30,51,1.212647
2.30,52,1.216811
2.30,53,1.235174
2.30,54,1.239560
2.30,55,1.243367
2.30,56,1.248123
2.30,57,1.247157
2.30,58,1.250073
2.30,59,1.259116
2.30,60,1.260374
2.30,61,1.278170
2.30,62,1.277262
2.30,63,1.279220
2.30,64,1.276953
2.30,65,1.276861
2.30,66,1.277855
2.30,67,1.287548
2.30,68,1.283696
2.30,69,1.304445
2.30,70,1.374117
2.30,71,1.405019
2.30,72,1.388669
2.30,73,1.417053
2.30,74,1.415745
2.30,75,1.424616
2.30,76,1.408253
2.30,77,1.434250
2.30,78,1.438083
2.30,79,1.450124
2.30,80,1.450124
2.30,81,1.449694
2.30,82,1.448419
2.30,83,1.475051
2.30,84,1.505694
2.30,85,1.505045
2.30,86,1.561581
2.30,87,1.581598
2.30,88,1.588968
2.30,89,1.577386
2.30,90,1.581406
2.30,91,1.587988
2.30,92,1.586853
2.30,93,1.657234
2.30,94,1.746828
2.30,95,1.780263
2.30,96,1.773961
2.30,97,1.773562
2.30,98,1.785405
2.30,99,1.797823
2.30,100,1.792459
2.30,101,1.803737
2.30,102,1.829534
2.30,103,1.880715
2.30,104,1.868760
2.30,105,1.871442
2.30,106,1.880302
2.30,107,1.868173
2.30,108,1.869469
2.30,109,1.870625
2.30,110,1.907669
2.30,111,1.906753
2.30,112,1.937083
2.30,113,1.937083
2.30,114,1.919020
2.30,115,1.919020
2.30,116,1.944183
2.30,117,1.946140
2.30,118,2.020450
2.30,119,2.039784
2.30,120,2.034002
2.30,121,2.031904
2.30,122,2.029065
2.30,123,2.006381
2.30,124,1.993939
2.30,125,1.921597
2.30,126,1.955725
2.30,127,1.955725
2.30,128,1.937605
2.30,129,1.921191
2.30,130,1.882758
2.30,131,1.920681
2.30,132,1.994238
2.30,133,1.983678
2.30,134,1.912250
2.30,135,1.912250
2.30,136,1.770469
2.30,137,1.822282
2.30,138,1.822945
2.30,139,1.803990
2.30,140,1.788376
