symbol,entry_bar,exit_bar,entry_date,exit_date,bars_held,entry_price,exit_price,size,pct_ret,equity_mult,exit_reason,hedge_active
BTCUSDT,307,311,2021-06-14 00:00:00,2021-06-18 00:00:00,4,40516.29000000,35819.84000000,0.133333,-0.1166220899,0.9844503880,TURTLE_ATR,true
BTCUSDT,349,350,2021-07-26 00:00:00,2021-07-27 00:00:00,1,37237.60000000,39457.87000000,0.333333,0.0587770513,1.0195923504,TURTLE_ATR,false
BTCUSDT,351,353,2021-07-28 00:00:00,2021-07-30 00:00:00,2,40019.56000000,42206.37000000,0.333333,0.0538001518,1.0179333839,TURTLE_ATR,false
ETHUSDT,353,358,2021-07-30 00:00:00,2021-08-04 00:00:00,5,2461.81000000,2724.78000000,0.333333,0.1059346772,1.0353115591,TURTLE_ATR,false
DOGEUSDT,361,362,2021-08-07 00:00:00,2021-08-08 00:00:00,1,0.26189000,0.23996000,0.333333,-0.0844701640,0.9718432787,TURTLE_ATR,false
ADAUSDT,365,366,2021-08-11 00:00:00,2021-08-12 00:00:00,1,1.79340000,1.83240000,0.333333,0.0209293332,1.0069764444,TURTLE_ATR,false
ETHUSDT,359,371,2021-08-05 00:00:00,2021-08-17 00:00:00,12,2826.99000000,3011.72000000,0.333333,0.0644931844,1.0214977281,HOLD_MAX,false
ADAUSDT,367,371,2021-08-13 00:00:00,2021-08-17 00:00:00,4,2.13860000,1.92390000,0.333333,-0.1011121783,0.9662959406,TURTLE_ATR,false
BTCUSDT,360,372,2021-08-06 00:00:00,2021-08-18 00:00:00,12,42836.87000000,44705.29000000,0.333333,0.0427825392,1.0142608464,HOLD_MAX,false
ADAUSDT,373,378,2021-08-19 00:00:00,2021-08-24 00:00:00,5,2.44110000,2.71870000,0.333333,0.1128286058,1.0376095353,TURTLE_ATR,false
BTCUSDT,374,386,2021-08-20 00:00:00,2021-09-01 00:00:00,12,49322.47000000,48810.52000000,0.333333,-0.0111710302,0.9962763233,HOLD_MAX,false
ADAUSDT,381,392,2021-08-27 00:00:00,2021-09-07 00:00:00,11,2.94600000,2.51400000,0.333333,-0.1473219266,0.9508926911,TURTLE_ATR,false
SOLUSDT,392,393,2021-09-07 00:00:00,2021-09-08 00:00:00,1,173.46000000,191.02000000,0.333333,0.1003530791,1.0334510264,TURTLE_ATR,false
BTCUSDT,419,430,2021-10-04 00:00:00,2021-10-15 00:00:00,11,49224.94000000,61672.42000000,0.333333,0.2518674841,1.0839558280,TURTLE_ATR,false
ETHUSDT,422,434,2021-10-07 00:00:00,2021-10-19 00:00:00,12,3587.47000000,3877.03000000,0.133333,0.0798500381,1.0106466717,HOLD_MAX,true
BTCUSDT,435,437,2021-10-20 00:00:00,2021-10-22 00:00:00,2,66001.41000000,60688.22000000,0.133333,-0.0812364639,0.9891684715,TURTLE_ATR,true
ETHUSDT,435,437,2021-10-20 00:00:00,2021-10-22 00:00:00,2,4161.15000000,3972.20000000,0.133333,-0.0461714885,0.9938438015,TURTLE_ATR,true
SOLUSDT,435,439,2021-10-20 00:00:00,2021-10-24 00:00:00,4,176.72000000,202.14000000,0.133333,0.1429286592,1.0190571546,TURTLE_ATR,true
SOLUSDT,440,442,2021-10-25 00:00:00,2021-10-27 00:00:00,2,209.70000000,184.49000000,0.133333,-0.1209229041,0.9838769461,TURTLE_ATR,true
ETHUSDT,438,450,2021-10-23 00:00:00,2021-11-04 00:00:00,12,4167.12000000,4532.32000000,0.133333,0.0867687021,1.0115691603,HOLD_MAX,true
SOLUSDT,448,456,2021-11-02 00:00:00,2021-11-10 00:00:00,8,220.82000000,233.09000000,0.133333,0.0547215042,1.0072962006,TURTLE_ATR,true
XRPUSDT,545,546,2022-02-07 00:00:00,2022-02-08 00:00:00,1,0.83140000,0.87630000,0.133333,0.0531624252,1.0070883234,TURTLE_ATR,true
ETHUSDT,547,551,2022-02-09 00:00:00,2022-02-13 00:00:00,4,3243.94000000,2871.13000000,0.133333,-0.1156328371,0.9845822884,TURTLE_ATR,true
BTCUSDT,545,552,2022-02-07 00:00:00,2022-02-14 00:00:00,7,43839.99000000,42535.94000000,0.133333,-0.0305215659,0.9959304579,TURTLE_ATR,true
XRPUSDT,585,595,2022-03-19 00:00:00,2022-03-29 00:00:00,10,0.81940000,0.85770000,0.133333,0.0459044598,1.0061205946,TURTLE_ATR,true
SOLUSDT,597,598,2022-03-31 00:00:00,2022-04-01 00:00:00,1,122.77000000,134.52000000,0.333333,0.0948312049,1.0316104016,TURTLE_ATR,false
ETHUSDT,589,601,2022-03-23 00:00:00,2022-04-04 00:00:00,12,3036.00000000,3519.50000000,0.333333,0.1583285658,1.0527761886,HOLD_MAX,false
SOLUSDT,600,603,2022-04-03 00:00:00,2022-04-06 00:00:00,3,136.90000000,112.95000000,0.333333,-0.1756049954,0.9414650015,TURTLE_ATR,false
BTCUSDT,657,665,2022-05-30 00:00:00,2022-06-07 00:00:00,8,31734.22000000,31125.33000000,0.333333,-0.0199715105,0.9933428298,TURTLE_ATR,false
BTCUSDT,695,699,2022-07-07 00:00:00,2022-07-11 00:00:00,4,21624.98000000,19963.61000000,0.333333,-0.0775646730,0.9741451090,TURTLE_ATR,false
ETHUSDT,704,706,2022-07-16 00:00:00,2022-07-18 00:00:00,2,1355.85000000,1581.04000000,0.333333,0.1651551969,1.0550517323,TURTLE_ATR,false
SOLUSDT,706,709,2022-07-18 00:00:00,2022-07-21 00:00:00,3,43.52000000,43.11000000,0.333333,-0.0102131023,0.9965956326,TURTLE_ATR,false
